src_port,dst_port,protocol,ip_version,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_duration_ms,dst2src_packets,dst2src_bytes,bidirectional_min_ps,bidirectional_mean_ps,bidirectional_stddev_ps,bidirectional_max_ps,src2dst_min_ps,src2dst_mean_ps,src2dst_stddev_ps,src2dst_max_ps,dst2src_min_ps,dst2src_mean_ps,dst2src_stddev_ps,dst2src_max_ps,bidirectional_min_piat_ms,bidirectional_mean_piat_ms,bidirectional_stddev_piat_ms,bidirectional_max_piat_ms,src2dst_min_piat_ms,src2dst_mean_piat_ms,src2dst_stddev_piat_ms,src2dst_max_piat_ms,dst2src_min_piat_ms,dst2src_mean_piat_ms,dst2src_stddev_piat_ms,dst2src_max_piat_ms,bidirectional_syn_packets,bidirectional_cwr_packets,bidirectional_ece_packets,bidirectional_urg_packets,bidirectional_ack_packets,bidirectional_psh_packets,bidirectional_rst_packets,bidirectional_fin_packets,src2dst_syn_packets,src2dst_cwr_packets,src2dst_ece_packets,src2dst_urg_packets,src2dst_ack_packets,src2dst_psh_packets,src2dst_rst_packets,src2dst_fin_packets,dst2src_syn_packets,dst2src_cwr_packets,dst2src_ece_packets,dst2src_urg_packets,dst2src_ack_packets,dst2src_psh_packets,dst2src_rst_packets,dst2src_fin_packets,label
0,0,1,4,3224.755,2,168,0.004,1,84,9.474,1,84,84.0,84.0,0.0,84.0,84.0,84.0,0.0,84.0,84.0,84.0,0.0,84.0,0.004,4.737,4.732,9.469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,4,48382.423,2,168,0.011,1,84,9.256,1,84,84.0,84.0,0.0,84.0,84.0,84.0,0.0,84.0,84.0,84.0,0.0,84.0,0.011,4.628,4.617,9.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53494,8080,6,4,45384.31,2,120,0.007,1,60,28.436,1,60,60.0,60.0,0.0,60.0,60.0,60.0,0.0,60.0,60.0,60.0,0.0,60.0,0.007,14.218,14.211,28.429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
37446,5201,6,4,45376.519,2,120,0.007,1,60,24.384,1,60,60.0,60.0,0.0,60.0,60.0,60.0,0.0,60.0,60.0,60.0,0.0,60.0,0.007,12.192,12.185,24.377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,0,1,4,44547.772,11,924,620.945,6,504,359.567,5,420,84.0,84.0,0.0,84.0,84.0,84.0,0.0,84.0,84.0,84.0,0.0,84.0,0.008,56.45,110.776,356.667,0.531,40.007,78.812,197.63,0.5,89.89,154.025,356.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,4,38252.556,12,1008,100.918,6,504,51.255,6,504,84.0,84.0,0.0,84.0,84.0,84.0,0.0,84.0,84.0,84.0,0.0,84.0,0.012,8.41,12.728,40.114,1.764,1.91,0.143,2.154,1.129,10.249,11.313,31.654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,4,26677.994,2,168,10.326,1,84,0.01,1,84,84.0,84.0,0.0,84.0,84.0,84.0,0.0,84.0,84.0,84.0,0.0,84.0,0.01,5.163,5.153,10.316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,4,21576.852,27,2268,2412.726,10,840,1361.348,17,1428,84.0,84.0,0.0,84.0,84.0,84.0,0.0,84.0,84.0,84.0,0.0,84.0,0.009,89.36,313.978,1348.046,0.512,115.682,323.097,1029.535,0.473,85.084,326.096,1348.046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8080,36926,6,4,17595.071,2,120,404.581,1,60,0.017,1,60,60.0,60.0,0.0,60.0,60.0,60.0,0.0,60.0,60.0,60.0,0.0,60.0,0.017,202.291,202.274,404.564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
0,0,1,4,17567.726,6,504,8.827,3,252,48.156,3,252,84.0,84.0,0.0,84.0,84.0,84.0,0.0,84.0,84.0,84.0,0.0,84.0,0.013,8.026,13.196,36.986,1.109,4.407,3.298,7.705,1.03,1.172,0.142,1.314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,4,13235.104,2,168,0.004,1,84,9.474,1,84,84.0,84.0,0.0,84.0,84.0,84.0,0.0,84.0,84.0,84.0,0.0,84.0,0.004,4.737,4.732,9.469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,4,7294.108,4,336,12.323,2,168,31.116,2,168,84.0,84.0,0.0,84.0,84.0,84.0,0.0,84.0,84.0,84.0,0.0,84.0,0.014,7.779,4.656,12.309,12.309,12.309,0.0,12.309,8.824,8.824,0.0,8.824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,4,4617.955,2,168,0.005,1,84,7.951,1,84,84.0,84.0,0.0,84.0,84.0,84.0,0.0,84.0,84.0,84.0,0.0,84.0,0.005,3.976,3.971,7.947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5201,35476,6,4,2223.135,2,120,27.225,1,60,0.012,1,60,60.0,60.0,0.0,60.0,60.0,60.0,0.0,60.0,60.0,60.0,0.0,60.0,0.012,13.613,13.601,27.213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
0,0,1,4,58388.516,2,168,0.011,1,84,9.256,1,84,84.0,84.0,0.0,84.0,84.0,84.0,0.0,84.0,84.0,84.0,0.0,84.0,0.011,4.628,4.617,9.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53494,8080,6,4,55389.629,2,120,0.007,1,60,28.436,1,60,60.0,60.0,0.0,60.0,60.0,60.0,0.0,60.0,60.0,60.0,0.0,60.0,0.007,14.218,14.211,28.429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
37446,5201,6,4,55381.843,2,120,0.007,1,60,24.384,1,60,60.0,60.0,0.0,60.0,60.0,60.0,0.0,60.0,60.0,60.0,0.0,60.0,0.007,12.192,12.185,24.377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,0,1,4,54553.094,11,924,620.945,6,504,359.567,5,420,84.0,84.0,0.0,84.0,84.0,84.0,0.0,84.0,84.0,84.0,0.0,84.0,0.008,56.45,110.776,356.667,0.531,40.007,78.812,197.63,0.5,89.89,154.025,356.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,4,48257.861,12,1008,100.918,6,504,51.255,6,504,84.0,84.0,0.0,84.0,84.0,84.0,0.0,84.0,84.0,84.0,0.0,84.0,0.012,8.41,12.728,40.114,1.764,1.91,0.143,2.154,1.129,10.249,11.313,31.654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,4,36683.675,2,168,10.326,1,84,0.01,1,84,84.0,84.0,0.0,84.0,84.0,84.0,0.0,84.0,84.0,84.0,0.0,84.0,0.01,5.163,5.153,10.316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,4,31582.541,27,2268,2412.726,10,840,1361.348,17,1428,84.0,84.0,0.0,84.0,84.0,84.0,0.0,84.0,84.0,84.0,0.0,84.0,0.009,89.36,313.978,1348.046,0.512,115.682,323.097,1029.535,0.473,85.084,326.096,1348.046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8080,36926,6,4,27601.008,2,120,404.581,1,60,0.017,1,60,60.0,60.0,0.0,60.0,60.0,60.0,0.0,60.0,60.0,60.0,0.0,60.0,0.017,202.291,202.274,404.564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
0,0,1,4,27573.659,6,504,8.827,3,252,48.156,3,252,84.0,84.0,0.0,84.0,84.0,84.0,0.0,84.0,84.0,84.0,0.0,84.0,0.013,8.026,13.196,36.986,1.109,4.407,3.298,7.705,1.03,1.172,0.142,1.314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,4,23241.017,2,168,0.004,1,84,9.474,1,84,84.0,84.0,0.0,84.0,84.0,84.0,0.0,84.0,84.0,84.0,0.0,84.0,0.004,4.737,4.732,9.469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,4,17300.372,4,336,12.323,2,168,31.116,2,168,84.0,84.0,0.0,84.0,84.0,84.0,0.0,84.0,84.0,84.0,0.0,84.0,0.014,7.779,4.656,12.309,12.309,12.309,0.0,12.309,8.824,8.824,0.0,8.824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,4,14624.255,2,168,0.005,1,84,7.951,1,84,84.0,84.0,0.0,84.0,84.0,84.0,0.0,84.0,84.0,84.0,0.0,84.0,0.005,3.976,3.971,7.947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5201,35476,6,4,12229.439,2,120,27.225,1,60,0.012,1,60,60.0,60.0,0.0,60.0,60.0,60.0,0.0,60.0,60.0,60.0,0.0,60.0,0.012,13.613,13.601,27.213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
0,0,1,4,6179.606,18,1512,886.316,8,672,1741.146,10,840,84.0,84.0,0.0,84.0,84.0,84.0,0.0,84.0,84.0,84.0,0.0,84.0,0.011,96.73,268.341,877.929,0.741,126.615,306.724,877.929,0.489,93.792,261.296,832.827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,4,3551.02,35,2940,2075.104,18,1512,832.753,17,1428,84.0,84.0,0.0,84.0,84.0,84.0,0.0,84.0,84.0,84.0,0.0,84.0,0.01,59.289,240.179,1213.885,0.502,72.479,285.352,1213.885,0.525,52.046,197.649,817.536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,4,58270.881,12,1008,100.918,6,504,51.255,6,504,84.0,84.0,0.0,84.0,84.0,84.0,0.0,84.0,84.0,84.0,0.0,84.0,0.012,8.41,12.728,40.114,1.764,1.91,0.143,2.154,1.129,10.249,11.313,31.654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,1,4,46696.536,2,168,10.326,1,84,0.01,1,84,84.0,84.0,0.0,84.0,84.0,84.0,0.0,84.0,84.0,84.0,0.0,84.0,0.01,5.163,5.153,10.316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,1,4,41595.437,27,2268,2412.726,10,840,1361.348,17,1428,84.0,84.0,0.0,84.0,84.0,84.0,0.0,84.0,84.0,84.0,0.0,84.0,0.009,89.36,313.978,1348.046,0.512,115.682,323.097,1029.535,0.473,85.084,326.096,1348.046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8080,36926,6,4,37616.744,2,120,404.581,1,60,0.017,1,60,60.0,60.0,0.0,60.0,60.0,60.0,0.0,60.0,60.0,60.0,0.0,60.0,0.017,202.291,202.274,404.564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
0,0,1,4,37589.454,6,504,8.827,3,252,48.156,3,252,84.0,84.0,0.0,84.0,84.0,84.0,0.0,84.0,84.0,84.0,0.0,84.0,0.013,8.026,13.196,36.986,1.109,4.407,3.298,7.705,1.03,1.172,0.142,1.314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,1,4,33256.833,2,168,0.004,1,84,9.474,1,84,84.0,84.0,0.0,84.0,84.0,84.0,0.0,84.0,84.0,84.0,0.0,84.0,0.004,4.737,4.732,9.469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,1,4,27315.902,4,336,12.323,2,168,31.116,2,168,84.0,84.0,0.0,84.0,84.0,84.0,0.0,84.0,84.0,84.0,0.0,84.0,0.014,7.779,4.656,12.309,12.309,12.309,0.0,12.309,8.824,8.824,0.0,8.824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,1,4,24639.792,2,168,0.005,1,84,7.951,1,84,84.0,84.0,0.0,84.0,84.0,84.0,0.0,84.0,84.0,84.0,0.0,84.0,0.005,3.976,3.971,7.947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5201,35476,6,4,22245.095,7,7620,27.225,1,60,20833.938,6,7560,60.0,1088.5714,650.5257,1500.0,60.0,60.0,0.0,60.0,60.0,1260.0,536.6563,1500.0,0.012,2976.277,7277.124,20801.502,0.0,0.0,0.0,0.0,0.693,4166.785,8330.965,20828.716,2,0,0,0,6,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,5,2,0,0,1
0,0,1,4,16195.09,18,1512,886.316,8,672,1741.146,10,840,84.0,84.0,0.0,84.0,84.0,84.0,0.0,84.0,84.0,84.0,0.0,84.0,0.011,96.73,268.341,877.929,0.741,126.615,306.724,877.929,0.489,93.792,261.296,832.827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,1,4,13565.042,35,2940,2075.104,18,1512,832.753,17,1428,84.0,84.0,0.0,84.0,84.0,84.0,0.0,84.0,84.0,84.0,0.0,84.0,0.01,59.289,240.179,1213.885,0.502,72.479,285.352,1213.885,0.525,52.046,197.649,817.536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,1,4,8497.385,15,1260,6249.252,4,336,85.723,11,924,84.0,84.0,0.0,84.0,84.0,84.0,0.0,84.0,84.0,84.0,0.0,84.0,0.011,416.617,1535.024,6160.001,0.719,1.176,0.574,1.985,0.674,8.571,12.953,41.922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
